Chromosome	start	end	SNPs
1	5968001	5969000	3
1	5967001	5968000	0
1	5966001	5967000	0
1	5965001	5966000	0
1	5964001	5965000	0
1	5963001	5964000	0
1	5962001	5963000	0
1	5961001	5962000	0
1	5960001	5961000	1
1	5959001	5960000	0
1	5958001	5959000	1
1	5957001	5958000	0
1	5956001	5957000	3
1	5955001	5956000	0
1	5954001	5955000	0
1	5953001	5954000	0
1	5952001	5953000	0
1	5951001	5952000	0
1	5950001	5951000	0
1	5949001	5950000	1
1	5948001	5949000	1
1	5947001	5948000	0
1	5946001	5947000	0
1	5945001	5946000	0
1	5944001	5945000	1
1	5943001	5944000	0
1	5942001	5943000	1
1	5941001	5942000	0
1	5940001	5941000	0
1	5939001	5940000	0
1	5938001	5939000	0
1	5937001	5938000	1
1	5936001	5937000	0
1	5935001	5936000	0
1	5934001	5935000	1
1	5933001	5934000	0
1	5932001	5933000	0
1	5931001	5932000	1
1	5930001	5931000	0
1	5929001	5930000	1
1	5928001	5929000	1
1	5927001	5928000	0
1	5926001	5927000	1
1	5925001	5926000	0
1	5924001	5925000	1
1	5923001	5924000	1
1	5922001	5923000	1
1	5921001	5922000	0
1	5920001	5921000	1
1	5919001	5920000	0
1	5918001	5919000	0
1	5917001	5918000	1
1	5916001	5917000	0
1	5915001	5916000	0
1	5914001	5915000	0
1	5913001	5914000	2
1	5912001	5913000	1
1	5911001	5912000	1
1	5910001	5911000	0
1	5909001	5910000	0
1	5908001	5909000	0
1	5907001	5908000	0
1	5906001	5907000	1
1	5905001	5906000	1
1	5904001	5905000	5
1	5903001	5904000	2
1	5902001	5903000	0
1	5901001	5902000	0
1	5900001	5901000	3
1	5899001	5900000	0
1	5898001	5899000	6
1	5897001	5898000	1
1	5896001	5897000	0
1	5895001	5896000	2
1	5894001	5895000	2
1	5893001	5894000	0
1	5892001	5893000	2
1	5891001	5892000	1
1	5890001	5891000	1
1	5889001	5890000	0
1	5888001	5889000	0
1	5887001	5888000	0
1	5886001	5887000	1
1	5885001	5886000	2
1	5884001	5885000	1
1	5883001	5884000	1
1	5882001	5883000	2
1	5881001	5882000	1
1	5880001	5881000	1
1	5879001	5880000	0
1	5878001	5879000	0
1	5877001	5878000	2
1	5876001	5877000	0
