Chromosome	start	end	SNPs
5	33738001	33739000	0
5	33737001	33738000	0
5	33736001	33737000	1
5	33735001	33736000	0
5	33734001	33735000	1
5	33733001	33734000	0
5	33732001	33733000	2
5	33731001	33732000	0
5	33730001	33731000	0
5	33729001	33730000	0
5	33728001	33729000	1
5	33727001	33728000	0
5	33726001	33727000	0
5	33725001	33726000	0
5	33724001	33725000	0
5	33723001	33724000	0
5	33722001	33723000	0
5	33721001	33722000	1
5	33720001	33721000	0
5	33719001	33720000	0
5	33718001	33719000	0
5	33717001	33718000	0
5	33716001	33717000	0
5	33715001	33716000	1
5	33714001	33715000	0
5	33713001	33714000	0
5	33712001	33713000	1
5	33711001	33712000	0
5	33710001	33711000	0
5	33709001	33710000	0
5	33708001	33709000	1
5	33707001	33708000	0
5	33706001	33707000	0
5	33705001	33706000	0
5	33704001	33705000	0
5	33703001	33704000	0
5	33702001	33703000	0
5	33701001	33702000	0
5	33700001	33701000	2
5	33699001	33700000	0
5	33698001	33699000	0
5	33697001	33698000	0
5	33696001	33697000	0
5	33695001	33696000	0
5	33694001	33695000	0
5	33693001	33694000	0
5	33692001	33693000	0
5	33691001	33692000	0
5	33690001	33691000	0
5	33689001	33690000	0
5	33688001	33689000	0
5	33687001	33688000	0
5	33686001	33687000	0
5	33685001	33686000	0
5	33684001	33685000	0
5	33683001	33684000	0
5	33682001	33683000	0
5	33681001	33682000	0
5	33680001	33681000	0
5	33679001	33680000	0
5	33678001	33679000	0
5	33677001	33678000	0
5	33676001	33677000	0
5	33675001	33676000	0
5	33674001	33675000	0
5	33673001	33674000	0
5	33672001	33673000	1
5	33671001	33672000	0
5	33670001	33671000	0
5	33669001	33670000	0
5	33668001	33669000	0
5	33667001	33668000	0
5	33666001	33667000	0
5	33665001	33666000	0
5	33664001	33665000	0
5	33663001	33664000	0
5	33662001	33663000	0
5	33661001	33662000	0
5	33660001	33661000	0
5	33659001	33660000	0
5	33658001	33659000	0
5	33657001	33658000	0
5	33656001	33657000	0
5	33655001	33656000	0
5	33654001	33655000	0
5	33653001	33654000	0
5	33652001	33653000	0
5	33651001	33652000	0
5	33650001	33651000	0
5	33649001	33650000	0
5	33648001	33649000	0
5	33647001	33648000	0
5	33646001	33647000	0
5	33645001	33646000	0
5	33644001	33645000	0
5	33643001	33644000	0
5	33642001	33643000	1
5	33641001	33642000	1
5	33640001	33641000	1
5	33639001	33640000	0
5	33638001	33639000	0
5	33637001	33638000	1
5	33636001	33637000	0
5	33635001	33636000	0
5	33634001	33635000	0
5	33633001	33634000	0
5	33632001	33633000	0
5	33631001	33632000	0
5	33630001	33631000	0
5	33629001	33630000	1
5	33628001	33629000	0
5	33627001	33628000	0
5	33626001	33627000	0
5	33625001	33626000	0
5	33624001	33625000	0
5	33623001	33624000	0
5	33622001	33623000	0
5	33621001	33622000	0
5	33620001	33621000	1
5	33619001	33620000	0
5	33618001	33619000	0
5	33617001	33618000	0
5	33616001	33617000	0
5	33615001	33616000	0
5	33614001	33615000	0
5	33613001	33614000	0
5	33612001	33613000	0
5	33611001	33612000	0
5	33610001	33611000	0
5	33609001	33610000	0
5	33608001	33609000	0
5	33607001	33608000	0
5	33606001	33607000	2
5	33605001	33606000	1
5	33604001	33605000	1
5	33603001	33604000	0
5	33602001	33603000	0
