Chromosome	start	end	SNPs
10	63691001	63692000	0
10	63690001	63691000	0
10	63689001	63690000	0
10	63688001	63689000	0
10	63687001	63688000	0
10	63686001	63687000	0
10	63685001	63686000	0
10	63684001	63685000	0
10	63683001	63684000	0
10	63682001	63683000	0
10	63681001	63682000	0
10	63680001	63681000	0
10	63679001	63680000	0
10	63678001	63679000	0
10	63677001	63678000	0
10	63676001	63677000	0
10	63675001	63676000	0
10	63674001	63675000	0
10	63673001	63674000	0
10	63672001	63673000	0
10	63671001	63672000	0
10	63670001	63671000	0
10	63669001	63670000	0
10	63668001	63669000	0
10	63667001	63668000	0
10	63666001	63667000	0
10	63665001	63666000	0
10	63664001	63665000	0
10	63663001	63664000	0
10	63662001	63663000	0
10	63661001	63662000	0
10	63660001	63661000	0
10	63659001	63660000	0
10	63658001	63659000	0
10	63657001	63658000	0
10	63656001	63657000	0
10	63655001	63656000	0
10	63654001	63655000	0
10	63652001	63653000	0
10	63651001	63652000	0
10	63650001	63651000	0
10	63649001	63650000	0
10	63648001	63649000	0
10	63647001	63648000	0
10	63646001	63647000	0
10	63645001	63646000	0
10	63644001	63645000	0
10	63643001	63644000	0
10	63642001	63643000	0
10	63641001	63642000	0
10	63640001	63641000	0
10	63639001	63640000	0
10	63638001	63639000	0
10	63637001	63638000	2
10	63636001	63637000	1
10	63635001	63636000	0
10	63634001	63635000	0
10	63633001	63634000	1
10	63632001	63633000	0
10	63631001	63632000	0
10	63630001	63631000	1
10	63629001	63630000	0
10	63628001	63629000	0
10	63627001	63628000	1
10	63626001	63627000	1
10	63625001	63626000	0
10	63624001	63625000	0
10	63623001	63624000	0
10	63622001	63623000	0
10	63621001	63622000	0
10	63620001	63621000	2
10	63619001	63620000	0
10	63618001	63619000	1
10	63617001	63618000	0
10	63616001	63617000	1
10	63615001	63616000	1
10	63614001	63615000	0
10	63613001	63614000	0
10	63612001	63613000	0
10	63611001	63612000	0
10	63610001	63611000	0
10	63609001	63610000	0
10	63608001	63609000	0
10	63607001	63608000	0
10	63606001	63607000	0
10	63605001	63606000	4
10	63604001	63605000	0
10	63603001	63604000	1
10	63602001	63603000	0
10	63601001	63602000	0
10	63600001	63601000	0
10	63599001	63600000	0
10	63598001	63599000	1
10	63597001	63598000	0
10	63596001	63597000	0
10	63595001	63596000	1
10	63594001	63595000	1
10	63592001	63593000	0
10	63591001	63592000	1
10	63590001	63591000	0
10	63589001	63590000	1
10	63588001	63589000	0
10	63587001	63588000	1
10	63586001	63587000	1
10	63585001	63586000	2
10	63584001	63585000	1
10	63583001	63584000	1
10	63582001	63583000	1
10	63581001	63582000	1
10	63580001	63581000	0
10	63579001	63580000	1
10	63578001	63579000	1
10	63577001	63578000	0
10	63576001	63577000	0
10	63575001	63576000	0
10	63574001	63575000	0
10	63573001	63574000	1
10	63572001	63573000	5
10	63571001	63572000	0
10	63570001	63571000	1
10	63569001	63570000	0
10	63568001	63569000	1
10	63567001	63568000	5
10	63566001	63567000	0
10	63565001	63566000	1
10	63564001	63565000	0
10	63563001	63564000	0
10	63562001	63563000	4
10	63561001	63562000	1
10	63560001	63561000	1
10	63559001	63560000	2
10	63558001	63559000	1
10	63557001	63558000	2
10	63556001	63557000	0
10	63555001	63556000	0
10	63554001	63555000	0
10	63553001	63554000	0
10	63552001	63553000	1
10	63551001	63552000	0
10	63550001	63551000	0
10	63549001	63550000	1
10	63548001	63549000	0
10	63547001	63548000	0
10	63546001	63547000	0
10	63545001	63546000	0
10	63544001	63545000	1
10	63543001	63544000	0
10	63542001	63543000	1
10	63541001	63542000	0
10	63540001	63541000	0
10	63539001	63540000	0
10	63538001	63539000	1
10	63537001	63538000	1
10	63536001	63537000	0
10	63535001	63536000	1
10	63534001	63535000	0
10	63532001	63533000	0
10	63531001	63532000	0
10	63530001	63531000	0
10	63529001	63530000	0
10	63528001	63529000	2
10	63527001	63528000	1
10	63526001	63527000	0
10	63525001	63526000	0
10	63524001	63525000	0
10	63523001	63524000	1
10	63522001	63523000	0
10	63521001	63522000	2
10	63520001	63521000	1
10	63519001	63520000	0
10	63518001	63519000	1
10	63517001	63518000	1
10	63516001	63517000	1
10	63515001	63516000	0
10	63514001	63515000	0
10	63513001	63514000	3
10	63512001	63513000	1
10	63511001	63512000	0
10	63510001	63511000	0
10	63509001	63510000	2
10	63508001	63509000	2
10	63507001	63508000	1
10	63506001	63507000	1
10	63505001	63506000	0
10	63504001	63505000	1
10	63503001	63504000	0
10	63502001	63503000	2
10	63501001	63502000	0
10	63500001	63501000	0
10	63499001	63500000	1
10	63498001	63499000	1
10	63497001	63498000	1
10	63496001	63497000	1
10	63495001	63496000	2
10	63494001	63495000	1
10	63493001	63494000	0
10	63492001	63493000	0
10	63491001	63492000	1
10	63490001	63491000	0
10	63489001	63490000	1
10	63488001	63489000	0
10	63487001	63488000	0
10	63486001	63487000	0
10	63485001	63486000	0
10	63484001	63485000	0
10	63483001	63484000	0
10	63482001	63483000	0
10	63481001	63482000	0
10	63480001	63481000	0
10	63479001	63480000	0
10	63478001	63479000	0
10	63477001	63478000	2
10	63476001	63477000	0
10	63475001	63476000	0
10	63474001	63475000	0
10	63473001	63474000	0
10	63472001	63473000	1
10	63471001	63472000	2
10	63470001	63471000	0
10	63469001	63470000	1
10	63468001	63469000	0
10	63467001	63468000	0
10	63466001	63467000	0
10	63465001	63466000	0
10	63464001	63465000	0
10	63463001	63464000	0
10	63462001	63463000	0
10	63461001	63462000	0
10	63460001	63461000	0
10	63459001	63460000	0
10	63458001	63459000	1
10	63457001	63458000	0
10	63456001	63457000	0
10	63455001	63456000	1
10	63454001	63455000	0
10	63453001	63454000	0
10	63451001	63452000	0
10	63450001	63451000	0
10	63449001	63450000	1
10	63448001	63449000	0
10	63447001	63448000	0
10	63446001	63447000	0
10	63445001	63446000	0
10	63444001	63445000	1
10	63443001	63444000	0
10	63442001	63443000	0
10	63441001	63442000	0
10	63440001	63441000	2
10	63439001	63440000	2
10	63438001	63439000	0
10	63437001	63438000	0
10	63436001	63437000	0
10	63435001	63436000	0
10	63434001	63435000	0
