Chromosome	start	end	SNPs
6	33739001	33740000	1
6	33740001	33741000	0
6	33741001	33742000	0
6	33742001	33743000	0
6	33743001	33744000	0
6	33744001	33745000	0
6	33745001	33746000	0
6	33746001	33747000	0
6	33747001	33748000	0
6	33748001	33749000	0
6	33749001	33750000	0
6	33750001	33751000	0
6	33751001	33752000	0
6	33752001	33753000	0
6	33753001	33754000	1
6	33754001	33755000	0
6	33755001	33756000	1
6	33756001	33757000	0
6	33757001	33758000	0
6	33758001	33759000	0
6	33759001	33760000	0
6	33760001	33761000	1
6	33761001	33762000	0
6	33762001	33763000	0
6	33763001	33764000	0
6	33764001	33765000	0
6	33765001	33766000	0
6	33766001	33767000	0
6	33767001	33768000	0
6	33768001	33769000	0
6	33769001	33770000	0
6	33770001	33771000	0
6	33771001	33772000	0
6	33772001	33773000	0
6	33773001	33774000	0
6	33774001	33775000	0
6	33775001	33776000	0
6	33776001	33777000	0
6	33777001	33778000	0
6	33778001	33779000	0
6	33779001	33780000	0
6	33780001	33781000	0
6	33781001	33782000	0
6	33782001	33783000	0
6	33783001	33784000	0
6	33784001	33785000	0
6	33785001	33786000	0
6	33786001	33787000	0
6	33787001	33788000	0
6	33788001	33789000	0
6	33789001	33790000	0
6	33790001	33791000	0
6	33791001	33792000	0
6	33792001	33793000	0
6	33793001	33794000	1
6	33794001	33795000	0
6	33795001	33796000	0
6	33796001	33797000	0
6	33797001	33798000	0
6	33798001	33799000	0
6	33799001	33800000	0
6	33800001	33801000	0
6	33801001	33802000	0
6	33802001	33803000	0
6	33803001	33804000	0
6	33804001	33805000	0
6	33805001	33806000	0
6	33806001	33807000	0
6	33807001	33808000	0
6	33808001	33809000	0
6	33809001	33810000	0
6	33810001	33811000	0
6	33811001	33812000	1
6	33812001	33813000	0
6	33813001	33814000	0
6	33814001	33815000	0
6	33815001	33816000	0
6	33816001	33817000	1
6	33817001	33818000	1
6	33818001	33819000	0
6	33819001	33820000	0
6	33820001	33821000	0
6	33821001	33822000	0
6	33822001	33823000	0
6	33823001	33824000	0
6	33824001	33825000	0
6	33825001	33826000	0
6	33826001	33827000	1
6	33827001	33828000	0
6	33828001	33829000	1
6	33829001	33830000	0
6	33830001	33831000	0
6	33831001	33832000	0
6	33832001	33833000	0
6	33833001	33834000	1
6	33834001	33835000	0
6	33835001	33836000	0
6	33836001	33837000	0
6	33837001	33838000	0
6	33838001	33839000	0
6	33839001	33840000	0
6	33840001	33841000	0
6	33841001	33842000	0
6	33842001	33843000	0
6	33843001	33844000	0
6	33844001	33845000	1
6	33845001	33846000	0
6	33846001	33847000	0
6	33847001	33848000	1
6	33848001	33849000	2
6	33849001	33850000	0
6	33850001	33851000	0
6	33851001	33852000	0
6	33852001	33853000	0
6	33853001	33854000	0
6	33854001	33855000	0
6	33855001	33856000	1
6	33856001	33857000	0
6	33857001	33858000	1
6	33858001	33859000	1
6	33859001	33860000	0
6	33860001	33861000	0
6	33861001	33862000	2
6	33862001	33863000	0
6	33863001	33864000	0
6	33864001	33865000	0
6	33865001	33866000	0
6	33866001	33867000	1
6	33867001	33868000	0
6	33868001	33869000	0
6	33869001	33870000	0
6	33870001	33871000	0
6	33871001	33872000	0
6	33872001	33873000	0
6	33873001	33874000	0
6	33874001	33875000	0
6	33875001	33876000	0
6	33876001	33877000	2
6	33877001	33878000	0
6	33878001	33879000	0
6	33879001	33880000	0
6	33880001	33881000	0
6	33881001	33882000	0
6	33882001	33883000	0
6	33883001	33884000	1
6	33884001	33885000	0
6	33885001	33886000	0
6	33886001	33887000	2
6	33887001	33888000	2
6	33888001	33889000	0
6	33889001	33890000	1
6	33890001	33891000	0
6	33891001	33892000	0
6	33892001	33893000	0
6	33893001	33894000	0
6	33894001	33895000	0
6	33895001	33896000	1
6	33896001	33897000	0
6	33897001	33898000	0
6	33898001	33899000	0
6	33899001	33900000	0
6	33900001	33901000	0
6	33901001	33902000	1
6	33902001	33903000	1
6	33903001	33904000	0
6	33904001	33905000	1
6	33905001	33906000	0
6	33906001	33907000	0
6	33907001	33908000	0
6	33908001	33909000	1
6	33909001	33910000	0
6	33910001	33911000	0
6	33911001	33912000	0
6	33912001	33913000	0
6	33913001	33914000	1
6	33914001	33915000	0
6	33915001	33916000	0
6	33916001	33917000	0
6	33917001	33918000	0
6	33918001	33919000	0
6	33919001	33920000	0
6	33920001	33921000	0
6	33921001	33922000	1
6	33922001	33923000	0
6	33923001	33924000	0
6	33924001	33925000	0
6	33925001	33926000	0
6	33926001	33927000	0
6	33927001	33928000	1
6	33928001	33929000	0
6	33929001	33930000	0
6	33930001	33931000	0
6	33931001	33932000	0
