Chromosome	start	end	SNPs
7	39672001	39673000	0
7	39673001	39674000	0
7	39674001	39675000	2
7	39675001	39676000	0
7	39676001	39677000	2
7	39677001	39678000	4
7	39678001	39679000	2
7	39679001	39680000	1
7	39680001	39681000	0
7	39681001	39682000	2
7	39682001	39683000	3
7	39683001	39684000	0
7	39684001	39685000	1
7	39685001	39686000	1
7	39686001	39687000	1
7	39687001	39688000	0
7	39688001	39689000	0
7	39689001	39690000	2
7	39690001	39691000	0
7	39691001	39692000	0
7	39692001	39693000	0
7	39693001	39694000	1
7	39694001	39695000	0
7	39695001	39696000	0
7	39696001	39697000	0
7	39697001	39698000	0
7	39698001	39699000	1
7	39699001	39700000	1
7	39700001	39701000	0
7	39701001	39702000	2
7	39702001	39703000	1
7	39703001	39704000	1
7	39704001	39705000	0
7	39705001	39706000	0
7	39706001	39707000	0
7	39707001	39708000	0
7	39708001	39709000	0
7	39709001	39710000	0
7	39710001	39711000	0
7	39711001	39712000	0
7	39712001	39713000	0
7	39713001	39714000	0
7	39714001	39715000	0
7	39715001	39716000	0
7	39716001	39717000	1
7	39717001	39718000	0
7	39718001	39719000	0
7	39719001	39720000	0
7	39720001	39721000	0
7	39721001	39722000	2
7	39722001	39723000	0
7	39723001	39724000	0
7	39724001	39725000	2
7	39725001	39726000	1
7	39726001	39727000	0
7	39727001	39728000	1
7	39728001	39729000	0
7	39729001	39730000	0
7	39730001	39731000	0
7	39731001	39732000	1
7	39732001	39733000	0
7	39733001	39734000	0
7	39734001	39735000	0
7	39735001	39736000	0
7	39736001	39737000	2
7	39737001	39738000	1
7	39738001	39739000	0
7	39739001	39740000	0
7	39740001	39741000	0
7	39741001	39742000	0
7	39742001	39743000	0
7	39743001	39744000	1
7	39744001	39745000	0
7	39745001	39746000	0
7	39746001	39747000	0
7	39747001	39748000	0
7	39748001	39749000	1
7	39749001	39750000	0
7	39750001	39751000	0
7	39751001	39752000	0
7	39752001	39753000	2
7	39753001	39754000	0
7	39754001	39755000	0
7	39755001	39756000	0
7	39756001	39757000	0
7	39757001	39758000	0
7	39758001	39759000	1
7	39759001	39760000	0
7	39760001	39761000	0
7	39761001	39762000	0
7	39762001	39763000	0
7	39763001	39764000	2
7	39764001	39765000	0
7	39765001	39766000	0
7	39766001	39767000	0
7	39767001	39768000	1
7	39768001	39769000	1
7	39769001	39770000	0
7	39770001	39771000	0
7	39771001	39772000	0
7	39772001	39773000	1
7	39773001	39774000	0
7	39774001	39775000	0
7	39775001	39776000	0
7	39776001	39777000	1
7	39777001	39778000	0
7	39778001	39779000	0
7	39779001	39780000	1
7	39780001	39781000	1
7	39781001	39782000	1
7	39782001	39783000	0
7	39783001	39784000	0
7	39784001	39785000	0
7	39785001	39786000	0
7	39786001	39787000	0
7	39787001	39788000	0
7	39788001	39789000	1
7	39789001	39790000	1
7	39790001	39791000	1
7	39791001	39792000	1
7	39792001	39793000	1
7	39793001	39794000	1
7	39794001	39795000	0
7	39795001	39796000	0
7	39796001	39797000	1
7	39797001	39798000	0
7	39798001	39799000	3
7	39799001	39800000	0
7	39800001	39801000	1
7	39801001	39802000	2
7	39802001	39803000	1
7	39803001	39804000	0
7	39804001	39805000	0
7	39805001	39806000	0
7	39806001	39807000	0
7	39807001	39808000	0
7	39808001	39809000	1
7	39809001	39810000	3
7	39810001	39811000	2
7	39811001	39812000	0
7	39812001	39813000	1
7	39813001	39814000	0
7	39814001	39815000	1
7	39815001	39816000	1
7	39816001	39817000	1
7	39817001	39818000	0
7	39818001	39819000	2
7	39819001	39820000	1
7	39820001	39821000	2
7	39821001	39822000	1
7	39822001	39823000	0
7	39823001	39824000	1
7	39824001	39825000	0
7	39825001	39826000	0
7	39826001	39827000	0
7	39827001	39828000	0
7	39828001	39829000	1
7	39829001	39830000	0
7	39830001	39831000	0
7	39831001	39832000	0
7	39832001	39833000	2
7	39833001	39834000	1
7	39834001	39835000	1
7	39835001	39836000	0
7	39836001	39837000	0
7	39837001	39838000	1
7	39838001	39839000	0
7	39839001	39840000	1
7	39840001	39841000	2
7	39841001	39842000	0
7	39842001	39843000	1
7	39843001	39844000	1
7	39844001	39845000	1
7	39845001	39846000	0
7	39846001	39847000	0
7	39847001	39848000	1
7	39848001	39849000	0
7	39849001	39850000	1
7	39850001	39851000	3
7	39851001	39852000	0
7	39852001	39853000	0
7	39853001	39854000	1
7	39854001	39855000	0
7	39855001	39856000	0
7	39856001	39857000	0
7	39857001	39858000	0
7	39858001	39859000	1
7	39859001	39860000	3
7	39860001	39861000	3
7	39861001	39862000	1
7	39862001	39863000	1
7	39863001	39864000	1
7	39864001	39865000	1
7	39865001	39866000	2
7	39866001	39867000	2
7	39867001	39868000	0
7	39868001	39869000	0
7	39869001	39870000	0
7	39870001	39871000	0
7	39871001	39872000	0
7	39872001	39873000	2
7	39873001	39874000	1
7	39874001	39875000	1
7	39875001	39876000	0
7	39876001	39877000	0
7	39877001	39878000	1
7	39878001	39879000	1
7	39879001	39880000	0
7	39880001	39881000	1
7	39881001	39882000	0
7	39882001	39883000	0
7	39883001	39884000	1
7	39884001	39885000	0
7	39885001	39886000	0
7	39886001	39887000	2
7	39887001	39888000	1
7	39888001	39889000	0
7	39889001	39890000	0
7	39890001	39891000	1
7	39891001	39892000	0
7	39892001	39893000	0
7	39893001	39894000	0
7	39894001	39895000	0
7	39895001	39896000	1
